from,to,distance
5717983,5717206,0.08520535745223633
5717598,5719313,0.048630270649214075
5717598,5717206,0.06161026231321607
5717421,368218222,0.3110104039251146
5717421,5718606,0.35528744394738754
5718606,672181346,0.18498212722662105
5718606,5717421,0.35528744394738754
368218222,53192328,0.34295564702197007
368218222,672181324,0.22170032720683622
368218222,5717421,0.3110104039251146
368218222,672181348,0.16674313973634647
5719313,5717598,0.048630270649214075
5719313,97858767,0.03533349402593485
5717701,5717809,0.6318155768804957
5717701,672181418,0.49618870949015154
5717701,5718355,0.7992088569857023
5717701,672181423,0.6402925635367389
672181423,5717809,0.36027513192163974
672181423,672181426,0.07032861032064067
672181423,5717701,0.6402925635367389
672181423,258140902,0.14914292420587125
672181418,5718355,0.6706171013488622
672181418,139437804,0.24636489707406878
672181418,5717701,0.49618870949015154
672181418,5719190,0.681474340079421
5718355,672181504,0.5845723754009721
5718355,5717701,0.7992088569857023
5718355,672181418,0.6706171013488622
5718355,258419627,0.5127926395569765
5718355,809980755,0.43000204394686264
5718355,60219159,0.021253494464135835
5717769,139199353,0.5507447697948553
5717769,672181332,0.48670426604318073
5717769,672181333,0.43784708547254086
5717769,672181334,0.6207491283203613
672181333,5717769,0.43784708547254086
672181333,672181332,0.3558388898267735
672181333,26768885,0.23496350076898173
672181333,178545638,0.2605191799137682
672181334,672181356,0.1554687495286305
672181334,5717769,0.6207491283203613
672181334,462237292,0.15212331311929506
672181334,139199353,0.38567564343326843
5718346,139437932,0.667671135622931
5718346,5717809,0.23544709218975682
5718346,672181434,0.3395866267053911
5718346,127700884,0.2736904088956782
825073800,825073799,0.06552971107179617
825073800,5717983,0.07888019433074961
24547520,5718005,0.0374553304996548
24547520,28517525,0.06974181558650236
5718005,24547520,0.0374553304996548
5718005,106846175,0.30922148319010945
106846175,48082200,0.35081016544684657
106846175,5718005,0.30922148319010945
5718264,672181484,0.20472709341960063
5718264,5719644,0.3816098944090216
5719644,5718264,0.3816098944090216
5719644,585998234,0.05638911140664611
672181484,5718264,0.20472709341960063
672181484,672181480,0.05958573569241742
672181321,672181356,0.07087799986954563
672181321,5718268,0.07762018950158596
672181321,178551365,0.06422253619335401
672181321,672181324,0.04333382863246954
5718268,672181321,0.07762018950158596
5718268,672181323,0.1414513079716037
5718268,672181324,0.07664041173264631
672181324,672181321,0.04333382863246954
672181324,5718268,0.07664041173264631
672181324,368218222,0.22170032720683622
672181323,5718268,0.1414513079716037
672181323,87490645,0.056969662130390356
672181434,5718346,0.3395866267053911
672181434,127700884,0.4370316660186246
